name,value,continent
United States,69,North America
China,45,Asia
Great Britain & N. Ireland,38,Europe
Russia,30,Europe
Japan,26,Asia
France,22,Europe
Australia,22,Oceania
Italy,21,Europe
Germany,17,Europe
South Korea,14,Asia
Canada,13,North America
Hungary,12,Europe
Netherlands,9,Europe
New Zealand,8,Oceania
Kazakhstan,8,Asia
South Africa,7,Africa
Denmark,7,Europe
Sweden,6,Europe
North Korea,6,Asia
Brazil,6,South America
Czech Republic,6,Europe
Spain,5,Europe
Switzerland,5,Europe
Cuba,5,North America
Uzbekistan,5,Asia
Colombia,4,South America
Belgium,4,Europe
Thailand,4,Asia
Belarus,4,Europe
Poland,4,Europe
Romania,4,Europe
Ethiopia,4,Africa
Ukraine,4,Europe
Croatia,3,Europe
Iran,3,Asia
Jamaica,3,North America
Kenya,3,Africa
Slovenia,3,Europe
Chinese Taipei,3,Asia
Lithuania,3,Europe
Norway,3,Europe
Argentina,2,South America
Slovakia,2,Europe
Vietnam,2,Asia
Greece,2,Europe
Independent Olympic Athletes,2,
Azerbaijan,2,Asia
Indonesia,2,Asia
Georgia,2,Europe
Mongolia,2,Asia
Egypt,2,Africa
Israel,2,Asia
Fiji,1,Oceania
Kosovo,1,Europe
Puerto Rico,1,North America
Singapore,1,Asia
Bahrain,1,Asia
Grenada,1,North America
Ireland,1,Europe
Malaysia,1,Asia
Philippines,1,Asia
Turkey,1,Asia
Venezuela,1,South America
Estonia,1,Europe
Kyrgyzstan,1,Asia
Portugal,1,Europe
Tunisia,1,Africa
United Arab Emirates,1,Asia
Afghanistan,0,Asia
Albania,0,Europe
Algeria,0,Africa
American Samoa,0,Oceania
Andorra,0,Europe
Angola,0,Africa
Antigua & Barbuda,0,North America
Armenia,0,Asia
Aruba,0,North America
Austria,0,Europe
Bahamas,0,North America
Bangladesh,0,Asia
Barbados,0,North America
Belize,0,North America
Benin,0,Africa
Bermuda,0,North America
Bhutan,0,Asia
Bolivia,0,South America
Bosnia & Herzegovina,0,Europe
Botswana,0,Africa
British Virgin Islands,0,North America
Brunei,0,Asia
Bulgaria,0,Europe
Burkina Faso,0,Africa
Burundi,0,Africa
Cambodia,0,Asia
Cameroon,0,Africa
Cape Verde,0,Africa
Cayman Islands,0,North America
Central African Republic,0,Africa
Chad,0,Africa
Chile,0,South America
Comoros,0,Africa
Congo,0,Africa
Cook Islands,0,Oceania
Costa Rica,0,North America
Cyprus,0,Europe
Cote d'Ivoire,0,Africa
DR Congo,0,Africa
Djibouti,0,Africa
Dominica,0,North America
Dominican Republic,0,North America
Ecuador,0,South America
El Salvador,0,North America
Equatorial Guinea,0,Africa
Eritrea,0,Africa
FYR Macedonia,0,Europe
Federated States of Micronesia,0,Oceania
Finland,0,Europe
Gabon,0,Africa
Gambia,0,Africa
Ghana,0,Africa
Guam,0,Oceania
Guatemala,0,North America
Guinea,0,Africa
Guinea-Bissau,0,Africa
Guyana,0,South America
Haiti,0,North America
Honduras,0,North America
Hong Kong,0,Asia
Iceland,0,Europe
India,0,Asia
Iraq,0,Asia
Jordan,0,Asia
Kiribati,0,Oceania
Laos,0,Asia
Latvia,0,Europe
Lebanon,0,Asia
Lesotho,0,Africa
Liberia,0,Africa
Libya,0,Africa
Liechtenstein,0,Europe
Luxembourg,0,Europe
Madagascar,0,Africa
Malawi,0,Africa
Maldives,0,Asia
Mali,0,Africa
Malta,0,Europe
Marshall Islands,0,Oceania
Mauritania,0,Africa
Mauritius,0,Africa
Mexico,0,North America
Moldova,0,Europe
Monaco,0,Europe
Montenegro,0,Europe
Morocco,0,Africa
Mozambique,0,Africa
Myanmar,0,Asia
Namibia,0,Africa
Nauru,0,Oceania
Nepal,0,Asia
Nicaragua,0,North America
Niger,0,Africa
Nigeria,0,Africa
Oman,0,Asia
Pakistan,0,Asia
Palau,0,Oceania
Palestine,0,Asia
Panama,0,North America
Papua New Guinea,0,Oceania
Paraguay,0,South America
Peru,0,South America
Qatar,0,Asia
Rwanda,0,Africa
Saint Kitts & Nevis,0,North America
Saint Lucia,0,North America
Samoa,0,Oceania
San Marino,0,Europe
Sao Tome & Principe,0,Africa
Saudi Arabia,0,Asia
Senegal,0,Africa
Serbia,0,Europe
Seychelles,0,Africa
Sierra Leone,0,Africa
Solomon Islands,0,Oceania
Somalia,0,Africa
South Sudan,0,Africa
Sri Lanka,0,Asia
St Vincent & the Grenadines,0,North America
Sudan,0,Africa
Suriname,0,South America
Swaziland,0,Africa
Syria,0,Asia
Tajikistan,0,Asia
Tanzania,0,Africa
Timor-Leste,0,Asia
Togo,0,Africa
Tonga,0,Oceania
Trinidad & Tobago,0,North America
Turkmenistan,0,Asia
Tuvalu,0,Oceania
US Virgin Islands,0,North America
Uganda,0,Africa
Uruguay,0,South America
Vanuatu,0,Oceania
Yemen,0,Asia
Zambia,0,Africa
Zimbabwe,0,Africa
